epsd_abbr,label,emepos_abbr,class
AJ,adjective,AJ,COM
AV,adverb,AV,COM
CN,Celestial Name,CN,PROP
CNJ,conjunction,CNJ,COM
DN,Divine Name,DN,PROP
DP,demonstrative pronoun,DP,COM
EN,Ethnos Name,EN,PROP
FN,Field Name,FN,PROP
GN,Geographical Name,GN,PROP
IP,independent/anaphoric pronoun,IP,COM
J,interjection,J,COM
LN,Line Name (ancestral clan),LN,PROP
MA,adverb?,AV,COM
MN,Month Name,MN,PROP
N,noun,N,COM
NU,number,NU,COM
O,other,O,COM
ON,Object Name,ON,PROP
PN,Personal Name,PN,PROP
QN,Quarter Name (city area),QN,PROP
QP,interrogative pronoun,QP,COM
RN,Royal Name,RN,PROP
RP,reflexive/reciprocal pronoun,RP,COM
SN,Settlement Name,SN,PROP
TN,Temple Name,TN,PROP
U,unknown,U,COM
V/i,verb,V,COM
V/t,verb,V,COM
WN,Watercourse Name,WN,PROP
